Card   1:  8 86 59 90 68 52 55 24 37 69 | 10 55  8 86  6 62 69 68 59 37 91 90 24 22 78 61 58 89 52 96 95 94 13 36 81
Card   2:  6 42 98  5 17 31 13 36 63 61 | 99 88 14 20 63  5 56 33  6 21 92 13 17  7 31 93 30 74 98 15 11 36 61 42 47
Card   3: 16 58 72 77  1 67 33 82 68  7 | 16 37 15 75 78  1 49 82 22 45 83 58 77 79 50 88 98 67 33 72 42 29 35  7 68
Card   4: 75 35 37  6 29 54 64 57 82  4 |  8 33 27 85 84 54 75 37  4 57 70 29 64 94 17  6 38 41 82 81 71 35 47 51 19
Card   5: 23 85 52 77 81 50 28 59 87 82 | 70 65 12 35  9 41 62 31 47 66 58 15 76 46 68 67 55 86 17 38 18  1 75 79 13
Card   6: 77 64 13 36 68 88 16 75 25 95 | 25 64 55 58 75 66 23 16 27 68 69 88 13  9 39 42 29 65 83 97 32 89 53 96 94
Card   7: 31 12 76 29 48 96 41 49 21 37 | 94 81 65 82 15 33 53 91 88 37 46 29  3 80 95 67 11 27 31 30 49 89 78 41 90
Card   8: 20  5 52 31 46 25 88 95 39 83 | 36 62 48 39 69  3 81 11 61 95 43 85 34 46  5  8 13 45 10 17  2 88 70 52 89
Card   9:  8 85 89 55 77  9 40  5 57 37 | 56 84 62 42 49 50 51 35 75 25 13 74 68  1 99 48 41 94 45 66 17 69 23 29 67
Card  10: 74  1  7 89 97 82 75  9 11 42 | 94 71 41 30 50 58 23 81 35  6 97 57 67 85 98 10 87 43 96 77 31  8 54 72 65
Card  11: 38 29  6  5  4 84 34  1 94 23 | 89 48 51 84 49 33 50 65 79 53 12  8  5  1 35 69 83 57 11 42 67 26  9  6 55
Card  12: 35 83 44 75 36 65 85 87 60 72 |  8  3 91 33 59 29 56 26 21 60 80 88 25  5 51 47 46 44 41 31 62 79 76 89 55
Card  13:  8 56 97 66 32 70 25 76 18 20 | 15 50 91 65  3 67 98 81  9 44 18 92 13 64 96 47 87 46  7 33 66 71 82 88 90
